User_Rating_Count,Price,Size,Update_Gap,Great_App,Subtitle_Present,Price_Free,Description_Length,Genre_Adventure,Genre_Family,Language_EN,Languages_Count,In_App_Count,In_App_Max
40.0,0.0,2004992.0,254102400000000000,0,0,1,500,0,0,1,1,0,0.0
866.0,0.0,10136576.0,212371200000000000,0,0,1,1866,0,0,1,2,0,0.0
3416.0,0.0,8646161.0,111801600000000000,0,0,1,2011,0,0,1,1,0,0.0
67670.0,0.99,7703552.0,266889600000000000,0,0,0,1149,0,0,1,1,0,0.0
282.0,2.99,4225024.0,274665600000000000,0,0,0,386,0,0,1,1,0,0.0
93235.0,0.99,259371008.0,247795200000000000,0,0,0,715,0,0,1,1,10,4.99
569.0,2.99,23805952.0,278726400000000000,0,1,0,1561,0,0,1,9,0,0.0
193923.0,0.0,233482240.0,266716800000000000,0,1,1,3379,0,0,1,5,0,0.0
42389.0,2.99,56048640.0,282182400000000000,0,1,0,1759,0,0,1,2,9,5.99
207.0,3.99,23740416.0,202176000000000000,0,0,0,3408,0,0,1,1,0,0.0
16554.0,0.0,6338617.0,88905600000000000,0,0,1,1461,0,0,1,1,1,0.99
2110.0,0.0,76698624.0,210816000000000000,0,0,1,1171,0,0,1,1,10,19.99
267.0,3.99,39074816.0,299289600000000000,0,1,0,849,0,0,1,1,0,0.0
704.0,0.0,413902.0,0,0,0,1,481,0,0,1,1,0,0.0
23854.0,0.99,44707840.0,248227200000000000,0,1,0,538,1,0,1,1,0,0.0
847.0,0.99,995328.0,243561600000000000,0,0,0,638,0,0,1,1,0,0.0
233.0,0.0,761856.0,235785600000000000,0,0,1,638,0,0,1,1,0,0.0
14864.0,0.0,47129600.0,316224000000000000,1,1,1,1145,0,0,1,1,4,29.99
43.0,0.0,41591808.0,284601600000000000,0,0,1,167,0,0,1,1,0,0.0
3593.0,0.0,7750656.0,273801600000000000,0,0,1,1498,0,0,1,3,0,0.0
344.0,0.0,4578541.0,0,0,0,1,809,0,0,1,1,0,0.0
36581.0,0.0,69393408.0,321408000000000000,1,1,1,761,0,0,1,1,0,0.0
36581.0,0.0,69393408.0,321408000000000000,1,1,1,761,0,0,1,1,0,0.0
302.0,0.0,85569536.0,160185600000000000,0,0,1,2031,0,0,1,1,0,0.0
5778.0,1.99,253834240.0,213494400000000000,0,0,0,2032,0,0,1,1,2,0.99
27739.0,0.0,104436736.0,99014400000000000,1,1,1,3374,0,0,1,20,9,99.99
163.0,1.99,83070976.0,307324800000000000,0,1,0,4036,0,0,1,3,1,0.99
212763.0,0.99,9466880.0,273801600000000000,0,0,0,887,0,0,1,1,0,0.0
24.0,0.0,4474837.0,2851200000000000,0,0,1,313,0,0,1,1,0,0.0
166.0,0.0,10318615.0,71798400000000000,0,0,1,1419,0,0,1,4,0,0.0
35905.0,0.99,13216994.0,101779200000000000,0,0,0,2191,0,0,1,1,3,5.99
268.0,0.99,5334016.0,244080000000000000,0,0,0,1402,0,0,1,1,0,0.0
3135.0,0.0,9205022.0,31190400000000000,0,0,1,2573,0,0,1,1,0,0.0
1435.0,2.99,22335488.0,182736000000000000,0,0,0,3109,0,0,1,5,0,0.0
680.0,0.0,4481024.0,155520000000000000,0,0,1,642,0,0,1,3,0,0.0
113.0,0.99,48675840.0,257472000000000000,0,0,0,1646,0,0,1,1,0,0.0
291.0,0.99,9900032.0,216259200000000000,0,0,0,218,0,0,1,1,0,0.0
62.0,0.0,22518784.0,193622400000000000,1,0,1,1536,1,0,1,1,5,99.99
47338.0,0.99,9214976.0,254966400000000000,0,0,0,1255,0,1,1,1,0,0.0
213.0,9.99,22864896.0,283996800000000000,0,1,0,4002,0,0,1,2,0,0.0
776.0,0.0,64505856.0,302832000000000000,0,0,1,2729,0,0,1,3,0,0.0
5378.0,0.0,15120306.0,124675200000000000,0,0,1,1236,0,0,1,1,1,0.99
2567.0,4.99,21422080.0,284601600000000000,0,0,0,4114,0,0,1,1,3,4.99
29.0,0.0,35214336.0,256780800000000000,0,0,1,825,0,0,1,1,0,0.0
143719.0,0.0,109671424.0,307152000000000000,1,1,1,2464,0,0,1,66,6,99.99
178.0,0.0,11965728.0,64713600000000000,0,0,1,729,0,0,1,1,0,0.0
46861.0,0.99,8752128.0,259545600000000000,0,0,0,1154,0,1,1,1,0,0.0
1639.0,0.99,35438592.0,224812800000000000,0,0,0,1941,0,1,1,1,0,0.0
148144.0,0.0,12429966.0,62121600000000000,0,0,1,2191,1,0,1,1,0,0.0
517.0,0.0,22585344.0,141782400000000000,0,0,1,868,0,0,1,1,0,0.0
4049.0,0.99,49016832.0,193622400000000000,0,0,0,2559,0,0,1,8,2,0.99
345.0,0.0,5614592.0,292464000000000000,0,1,1,506,0,0,1,1,9,0.99
38008.0,0.99,7494656.0,253238400000000000,0,0,0,710,0,1,1,1,0,0.0
3650.0,0.0,16141677.0,16243200000000000,0,0,1,1224,0,0,1,1,0,0.0
1604.0,0.0,7075285.0,37152000000000000,0,0,1,436,0,0,1,1,0,0.0
17680.0,0.0,52412416.0,211507200000000000,0,0,1,1621,0,0,1,8,0,0.0
10785.0,0.0,52757132.0,73612800000000000,0,0,1,1069,0,0,1,5,1,1.99
17440.0,4.99,888494080.0,316137600000000000,0,1,0,3782,0,0,1,6,5,9.99
234.0,0.0,1098368.0,-2505600000000000,0,0,1,572,0,0,1,1,0,0.0
95466.0,0.0,58547200.0,268876800000000000,0,1,1,2056,0,0,1,2,10,5.99
295.0,0.0,5336201.0,0,0,0,1,2003,0,0,1,1,0,0.0
178.0,0.99,9961472.0,188179200000000000,0,0,0,2355,0,0,1,1,0,0.0
